序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
89,02養分,2酵素,酵素的專一性,,,,,,,如附圖，有一特定的酵素X被固定於某材質的器具上仍具活性，將此器具倒放在成分全為蛋白質的吉利丁凍上，吉利丁凍會被分解。若立即再將此含有酵素X的器具取出，並倒放在成分全為醣類的洋菜凍上，且酵素作用的環境不改變，則有關洋菜凍是否會被酵素X分解及其解釋，下列何者最合理？,m0088,,不會，因為酵素X作用後被分解,不會，因為酵素X不能分解醣類,會，因為酵素X可以重複進行作用,會，因為酵素X可分解外形為凍狀的物質,,,,,102基本學測,B
97,02養分,4消化系統,消化酵素與受質,,,,,,,已知某藥品的設計是將蛋白質以脂質包裹，當外層的脂質被消化液分解後，內部的蛋白質才能釋出。若人體攝入此藥品，則推測其所含的蛋白質釋出之地點應在下列哪一消化器官中？,,,胃,小腸,口腔,食道,,,,,102基本學測,B
123,03運輸,2循環系統,血管間物質的比較,,,,,,,已知血液離開心臟後，直接進入甲血管，然後流經乙血管，再由丙血管流回心臟，各血管內血液中O2的含量如附圖所示。若乙血管是物質交換的場所，則甲、丙對應的血管名稱，下列何者正確？,m0153,,甲是肺動脈,甲是肺靜脈,丙是主動脈,丙是大動脈,,,,,102基本學測,A
164,04協調,1神經系統,中樞與功能,,,,,,,「阿傑參加馬拉松比賽。他聽到哨聲起跑(甲)後，摔了一跤但迅速站起來再重新奔跑(乙)，沿途中不斷超越前方的對手(丙)，休息時手被意外打翻的熱水燙到立即縮回(丁)。」上述畫線處何者的反應不需由大腦所決定？,,,甲,乙,丙,丁,,,,,102基本學測,D
222,05恆定,2氣體恆定,呼吸運動,呼吸運動的調控,,,,,,在惡臭的環境中，小葵用手掐住鼻子閉氣，不久，卻憋不住氣而放開手，大口呼吸起來，這是因為其血液中下列哪種氣體含量增高所造成？,,, O2, O3, CH4, CO2,,,,,102基本學測,D
241,05恆定,1體溫恆定,內溫外溫的動物種類,,,,,,,六種動物的受精方式及受精卵發育場所的比較如附表。依此表的資料及這些動物調節體溫的特性來判斷，下列敘述何者最合理？,m0195,,表中進行體內受精者都是內溫動物,表中進行體外受精者都是內溫動物,表中受精卵在母體內發育者都是內溫動物,表中受精卵在母體外發育者都是外溫動物,,,,,102基本學測,C
313,07遺傳,1遺傳法則,計算與分析遺傳機率,,,,,,,已知人體某種性狀有顯、隱性的差別，且其遺傳方式符合孟德爾的遺傳法則。針對此性狀，阿泰觀察祖父、父親、母親、自己、弟弟和妹妹後，做成紀錄如附表所示。若不考慮突變的情況，下列哪一人控制此性狀的基因型無法從此表推定？,m0241,,祖父,父親,阿泰,妹妹,,,,,102基本學測,A
326,08演化,1天擇與人擇,天擇的過程,預測結果,,,,,,甲、乙、丙、丁四種數量相近的鳥類在某島的環境中適應良好，其嘴型示意圖如附圖所示。已知嘴型越細長，對捕捉昆蟲越有利；嘴型越短厚，對啄食種子越有利。假設此島的環境發生變化，使得食物來源中的種子大量增加，但昆蟲大量減少，經過一段時間後，若只考慮食物來源對族群大小的影響，則下列哪一種鳥的族群成長比例可能會最大？,m0252,,甲,乙,丙,丁,,,,,102基本學測,C
357,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,附圖為某園區植物的分布圖，小庭到此園區觀察不同植物的種子並作記錄，依此圖的標示，推測她在哪兩區可記錄到最多不同種類的種子？,m0285,,甲、丙,甲、丁,乙、丙,乙、丁,,,,,102基本學測,B
370,09分類,1命名與分類,學名的使用,,,,,,,附表是拉丁文及其參考意義的對照表。某一待確認學名的豬與野豬之外觀形態如附圖所示，已知兩者自然交配下所生的子代具有生殖能力，且野豬的學名為Sus scrofa，則此待確認的豬之學名應為下列何者？,m0265,m0266, Sus laevis, Sus scrofa, Porcula scrofa, Porcula laevis,,,,,102基本學測,B
457,10生態,2交互關係,食物網的分析,,,,,,,附圖表示某生態環境中的食物網，下列哪一選項中的兩種生物，彼此間的交互作用既有捕食又有競爭？,m0317,,蝦和海豹,蝦和企鵝,鯨魚和海鳥,烏賊和海鳥,,,,,102基本學測,D
529,03運輸,1植物的運輸,維管束,樹皮的生理作用,,g0702,,,,壓條法是一種園藝植物常見的繁殖方法，例如蘋果樹的枝幹有許多分枝，可隨意地選取強健的分枝做壓條。附圖是某一優良品種的蘋果樹進行壓條的過程示意圖：水苔屬於蘚苔植物，保水性強，可持續提供水分。環狀剝皮後，被剝皮的枝條之下列哪一生理作用會先直接受到影響？,m0138,m0139,水分的吸收,水分的運輸,養分的製造,養分的運輸。,,,,,102基本學測,D
530,06生殖,2無性生殖,無性生殖的特性,,,g0702,,,,壓條法是一種園藝植物常見的繁殖方法，例如蘋果樹的枝幹有許多分枝，可隨意地選取強健的分枝做壓條。附圖是某一優良品種的蘋果樹進行壓條的過程示意圖：水苔屬於蘚苔植物，保水性強，可持續提供水分。在不考慮突變的情形下，有關壓條法繁殖出的新植株，下列敘述何者最合理？,m0223,m0224,染色體數目會比原植株增加,不能再以種子繁殖新的子代,是和原植株不一樣的新物種,控制果實顏色的基因型和原植株相同,,,,,102基本學測,D
67,01生命世界,2動植物細胞的比較,粒線體與葉綠體,,粒線體,,,,,已知某株植物具有根、莖、葉等營養器官，也具有花、果實、種子等生殖器官。上述哪些器官的細胞具有分解葡萄糖以產生能量的功能？,,,僅營養器官才有,僅生殖器官才有,所有器官皆具有,除葉以外的器官皆具有,,,,,103教育會考,C
149,03運輸,2循環系統,血液循環路徑,,,,,,,附圖是人體血液循環所流經的部分構造示意圖，圖中的乙為心臟，丁為肝臟。根據附圖，若只考慮甲、乙、丙、丁四構造，將血液從丁流到丙所經過的構造都依序列出，則下列何者正確？,m0146,,丁→乙→丙,丁→甲→丙,丁→乙→甲→乙→丙,丁→甲→乙→甲→丙,,,,,103教育會考,C
155,03運輸,1植物的運輸,植物如何運輸,,,,,,,阿碩要把他家庭院中的樹木移植到別處，他寫下移植樹木時的建議及列出此建議的主要原因，如附表所示，其中下列哪一要點的建議與其主要原因不相符合？,m0117,,甲,乙,丙,丁,,,,,103教育會考,B
186,04協調,1神經系統,神經傳遞路徑,,,,,,,小玫聽到電話鈴聲後，趕緊拿起話筒接聽且回答。與上述過程相關的神經系統運作之敘述，下列何者最合理？,,,聽到鈴聲的感覺由耳朵產生,回答的語句由腦幹產生,拿起話筒的速度由脊髓決定,是否接聽電話由大腦決定,,,,,103教育會考,D
249,06生殖,1細胞分裂與減數分裂,細胞分裂的子細胞都相同,,,,,,,某昆蟲的生長發育過程如附圖所示，甲、乙、丙、丁分別代表不同的時期。若不考慮生殖細胞及突變，比較此昆蟲在不同時期細胞內的染色體數目，下列何者最合理？,m0219,,四個時期都相同,四個時期都不同,除了甲外，其餘三個時期都相同,除了丙外，其餘三個時期都相同,,,,,103教育會考,A
308,07遺傳,2人類的遺傳,性染色體的性聯遺傳,,,,,,,若王先生的X染色體上具有某一隱性等位基因，在不考慮突變的情況下，則其子女的哪種細胞也必定都有此隱性等位基因？,,,兒子的精細胞,女兒的卵細胞,兒子的肌肉細胞,女兒的肌肉細胞,,,,,103教育會考,D
333,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,某地區棲息著一種蝸牛，不同個體可能具有不同的殼色，但科學家發現此區樹幹上的此種蝸牛多為深咖啡色殼，而草地上則多為淺黃綠色殼。若以天擇說解釋此現象，下列何者最合理？,,,在樹幹上的蝸牛容易突變成深咖啡色殼,兩處蝸牛殼色明顯不同是受天敵影響的結果,蝸牛個體的殼色是由出生時環境的顏色決定,不同殼色的蝸牛在草地上被捕食的機率相等,,,,,103教育會考,B
343,08演化,3地質年代,地質年代的事件,,,,,,,阿達發現生活於數百萬年前的原始人類遺跡，其中包含殘缺不全的原始人類骨骼化石，還有用恐龍牙齒化石和象牙所做成的裝飾品。若已知象牙是新生代的大象象牙，則下列對此地原始人類、恐龍、大象之間關係的敘述，何者最合理？,,,恐龍與大象曾經生活在同一年代,恐龍是因為原始人類的活動而滅絕,原始人類曾經獵捕恐龍以及大象為食,原始人類撿到在地層中的恐龍牙齒化石,,,,,103教育會考,D
371,02養分,3光合作用,能進行光合作用的生物種類,,,,,,,有四支透明且密閉的試管，分別培養草履蟲、酵母菌、藍綠菌和大腸桿菌，已知此四支試管內皆含CO2，但不含有機物，其他環境條件則皆適合上述生物的生存。在每日各12小時光照黑暗交替的情況下，下列哪種生物最可能在其試管內生長及繁衍子代？(大腸桿菌為細菌的一種),,,草履蟲,酵母菌,藍綠菌,大腸桿菌,,,,,103教育會考,C
383,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,某研究機構估計出臺灣各類別的植物物種數量百分比，如附表所示。根據此表分析，下列何者所涵蓋的物種數量百分比最合理？,m0287,,雙子葉植物占61.5%,不會開花的植物占38.5%,沒有維管束的植物占37.0%,可產生果實的植物占63.0%,,,,,103教育會考,B
413,10生態,3能量的流動,從能量塔判斷生物,,,,,,,若海洋中的食物鏈為：矽藻→浮游動物→小魚→大魚，根據生物所含能量的關係繪製成的金字塔，如附圖所示，則圖中的乙最可能為此食物鏈中的何者？,m0325,,矽藻,浮游動物,小魚,大魚,,,,,103教育會考,C
452,10生態,1族群與群集,族群群集,,,,,,,附表為某校生態系列演講的日期及主題。小雅對生物群集(群落)的議題有興趣，若他只能參加兩場演講，則應優先選擇哪兩日期？櫻花鉤吻鮭又稱臺灣鱒,m0310,,8日、15日,8日、22日,15日、29日,22日、29日,,,,,103教育會考,C
504,01生命世界,5科學方法,製作圖表,,圖表判讀,g0201,,,,科學家要研究激素對血液中物質濃度的影響，在大白鼠身上分次靜脈注射激素X、Y及Z，並記錄注射前後血液中鈣及葡萄糖的濃度變化。已知每次注射都有足夠的時間間隔，使激素不會彼此干擾。附表為此實驗的平均結果，請根據附表回答下列問題：(mmol/L：毫莫耳/公升)。有關注射上述不同激素前後，大白鼠血液中鈣或葡萄糖濃度變化的圖形，下列何者正確？(□表示注射前；■表示注射後),m0053,,,,,,m0054,m0055,m0056,m0057,103教育會考,D
505,04協調,2內分泌系統,激素的特性,,圖表判讀,g0201,,,,科學家要研究激素對血液中物質濃度的影響，在大白鼠身上分次靜脈注射激素X、Y及Z，並記錄注射前後血液中鈣及葡萄糖的濃度變化。已知每次注射都有足夠的時間間隔，使激素不會彼此干擾。附表為此實驗的平均結果，請根據附表回答下列問題：(mmol/L：毫莫耳/公升)。此實驗中大白鼠所注射的激素Y最可能為下列何者？,m0178,,副甲狀腺素,胰島素,升糖素,腎上腺素,,,,,103教育會考,B
13,01生命世界,1顯微鏡,物鏡的視野與比較,,,,,,,如附圖所示，甲、乙為一臺複式顯微鏡上兩種不同倍率的物鏡。小閔使用此顯微鏡觀察口腔皮膜細胞，他按照使用顯微鏡的標準步驟依序開始操作，有關物鏡的轉換及視野亮度的變化，下列敘述何者最合理？,m0019,,先用甲再轉換到乙，視野亮度變暗,先用甲再轉換到乙，視野亮度變亮,先用乙再轉換到甲，視野亮度變暗,先用乙再轉換到甲，視野亮度變亮,,,,,104教育會考,A
58,02養分,2酵素,酵素的成分,,,,,,,唾液中的甲物質可催化澱粉的分解，胃液中的乙物質則可催化蛋白質的分解，若推測甲、乙兩物質本身的主要成分，下列敘述何者最合理？,,,甲、乙成分皆為澱粉,甲、乙成分皆為蛋白質,甲成分為澱粉，乙成分為蛋白質,甲成分為葡萄糖，乙成分為胺基酸,,,,,104教育會考,B
78,02養分,3光合作用,光合作用的過程,,,,,,,附圖是生物進行某種生理作用的示意圖，圖中箭頭代表能量或物質在葉片中的進出，此生理作用最可能是下列何者？,m0093,,呼吸作用,蒸散作用,光合作用,觸發運動,,,,,104教育會考,C
104,03運輸,1植物的運輸,維管束,維管束的功能與位置,,,,,,附圖為某種植物莖部橫切面的構造示意圖。已知「介殼蟲」是以此種植物韌皮部中的汁液為食，若想分析介殼蟲所吸取的成分，則應選擇圖中的哪一部位進行研究最合適？,m0130,,甲 ,乙,丙,丁,,,,,104教育會考,A
146,03運輸,2循環系統,血管間物質的比較,,,,,,,附圖為人體內甲、乙兩種器官各自的動脈及靜脈血液中氧氣含量之示意圖。根據此圖推測，紅血球從獲得氧氣到釋出氧氣的運輸過程中，有關血液流經甲、乙及心臟的途徑，下列何者最合理？,m0155,,甲→心臟→乙,甲→乙→心臟,乙→心臟→甲,乙→甲→心臟,,,,,104教育會考,C
182,04協調,1神經系統,神經傳遞路徑,,,,,,,當小庭看到驚悚畫面時，兩眼直視但身體刻意保持不動，而小瑋看到驚悚畫面時，則是大聲尖叫且用手遮眼。比較兩人從接受刺激到產生反應的相關敘述，下列何者最合理？,,,兩人的反應都是屬於反射作用,兩人的反應都有藉著肌肉來表現,小庭在此過程中的受器是眼睛；小瑋的受器則是手,小庭只有感覺神經參與傳導；小瑋只有運動神經參與傳導,,,,,104教育會考,B
212,05恆定,2氣體恆定,呼吸運動,呼吸運動的過程,,,,,,附圖為人體進行呼吸運動時，橫膈位置變動的示意圖。利用藍色氯化亞鈷試紙可檢測人體呼出氣體中的某物質。有關呼氣時橫膈位置的變化及可使試紙變色的物質，下列何者正確？,m0204,,甲→乙，水,甲→乙，二氧化碳,乙→甲，水,乙→甲，二氧化碳,,,,,104教育會考,C
256,06生殖,5植物有性生殖,花的構造,,,,,,,某人分別於甲、乙二區種植具有抗蟲基因的棉花及一般棉花，中間以道路相隔，如附圖所示。經過一段時間後，發現乙區的棉花也具有此抗蟲基因，產生此現象的原因，最可能是棉花的下列哪一構造傳播所造成？,m0232,,花柱,花粉,胚珠,子房,,,,,104教育會考,B
303,07遺傳,1遺傳法則,計算與分析遺傳機率,,,,,,,已知水稻中某種特殊香味的性狀是由一對等位基因所控制，包含具此香味和不具此香味兩種特徵。某研究人員將皆不具此香味的水稻甲和乙進行授粉，其子代水稻丙不具有此香味，而子代水稻丁具有此香味。在不考慮突變的情況下，根據遺傳法則推測水稻甲、乙、丙及丁的基因型，下列何者無法確定？,,,甲,乙,丙,丁,,,,,104教育會考,C
322,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,某地區樹林中棲息著一種蛾，依身體顏色可分成深色蛾和淺色蛾，其主要的天敵為鳥類。附圖為某段期間內深色蛾及淺色蛾數量變化的示意圖，圖中灰色部分標記為甲、乙兩時期。若依天擇說解釋甲或乙時期蛾的數量變化，下列何者最合理？,m0249,,在甲時期內鳥類較易發現深色蛾,在甲時期內淺色蛾突變成深色蛾,在乙時期內鳥類的數量逐年下降,在乙時期內環境適合淺色蛾生存,,,,,104教育會考,D
369,09分類,5動物界,動物界的特徵,,多種生物的比較,,,,,附表為海中四種動物的代號、名稱及特徵，若要以脊椎骨的有無作為分類依據，則下列哪一分類結果最合理？,m0295,,一組為甲、乙；另一組為丙、丁,一組為甲、丁；另一組為乙、丙,一組為乙；另一組為甲、丙、丁,一組為丙；另一組為甲、乙、丁,,,,,104教育會考,D
419,10生態,4物質的循環,氮循環的方式,,,,,,,附圖為自然界中氮循環部分途徑的示意圖，其中甲、乙為能進行氮的轉變反應之生物。依此圖推斷甲、乙所屬的生物類別，下列何者最合理？,m0328,,甲屬於植物，乙屬於動物,甲屬於動物，乙屬於植物,甲屬於微生物，乙屬於動物,甲屬於微生物，乙屬於微生物,,,,,104教育會考,D
532,06生殖,2無性生殖,遺傳差異,,,g0703,,,,【請閱讀文章後，回答下列問題：菰草」是生長在水邊的一種開花植物，而「菰黑穗菌」則是一種真菌，當菰草被菰黑穗菌感染時，會導致菰草的莖部因為細胞增生而膨大，形成我們的食物──茭白筍。受感染的植株無法正常開花結果，所以農民為了得到更多的茭白筍，會切下許多此植株的嫩莖種植，使得菰黑穗菌隨之繼續在這些植株中生長，而太晚被採收的茭白筍，其內部會出現許多黑點】根據本文，關於茭白筍的敘述，下列何者最合理？,,,茭白筍內增生的細胞是由減數分裂而來,菰黑穗菌使菰草的生殖器官膨大成茭白筍,農民繁殖的茭白筍植株之基因和親代完全相同,農民繁殖茭白筍植株的方式可增加植株對環境變化的適應力,,,,,104教育會考,C
533,09分類,3真菌界,真菌界的生物種類與特徵,,,g0703,,,,【請閱讀文章後，回答下列問題：菰草」是生長在水邊的一種開花植物，而「菰黑穗菌」則是一種真菌，當菰草被菰黑穗菌感染時，會導致菰草的莖部因為細胞增生而膨大，形成我們的食物──茭白筍。受感染的植株無法正常開花結果，所以農民為了得到更多的茭白筍，會切下許多此植株的嫩莖種植，使得菰黑穗菌隨之繼續在這些植株中生長，而太晚被採收的茭白筍，其內部會出現許多黑點】茭白筍內出現的黑點如圖所示。根據本文，黑點可能是由下列何者所組成？,m0275,,種子,孢子,花粉,卵細胞,,,,,104教育會考,B
29,01生命世界,1顯微鏡,物鏡的視野,,,,,,,甲、乙及丙為一臺複式顯微鏡上三種不同倍率的物鏡，其外型如附圖所示。小柏使用此顯微鏡觀察植物細胞，他利用乙物鏡觀察後，再轉換另一物鏡，結果視野下的細胞數目減少，有關他轉換後的物鏡及其視野範圍的變化，下列何者最合理？,m0016,,甲，視野範圍放大,甲，視野範圍縮小,丙，視野範圍放大,丙，視野範圍縮小,,,,,105教育會考,D
85,01生命世界,2動植物細胞的比較,粒線體與葉綠體,,,,,,,已知某種具有葉綠體的原生生物會分解養分產生能量，推測該生物能否進行光合作用或呼吸作用，下列敘述何者正確？,,,僅可進行光合作用,僅可進行呼吸作用,此兩種作用皆可進行,此兩種作用皆無法進行,,,,,105教育會考,C
87,02養分,2酵素,酵素的活性,,圖表判讀,,,,,在甲、乙及丙三支試管中分別裝入等量且濃度相同的溶液X，依實驗設計分別再加入等量的葡萄糖液、澱粉液或水，充分混勻再靜置於適宜的溫度，待足夠的反應時間後，以碘液進行檢測。將上述各試管所含的物質與碘液檢測結果整理如附表，根據此實驗結果判斷溶液X中最可能含有下列何種成分？,m0080,,澱粉,葡萄糖,分解澱粉的酵素,分解葡萄糖的酵素,,,,,105教育會考,C
110,03運輸,1植物的運輸,維管束,維管束的功能與位置,,,,,,研究員利用工具鑽取榕樹樹幹的維管束組織，從樹皮表面上的X點垂直鑽入樹幹中心後，將取出的組織依其主要功能分別標示為甲、乙、丙，如附表所示。依表中的主要功能判斷，比較此三者與X點間的距離，下列何者最合理？,m0132,,甲＜丙＜乙,甲＜乙＜丙,乙＜丙＜甲,乙＜甲＜丙,,,,,105教育會考,A
144,03運輸,2循環系統,淋巴循環系統,淋巴內的血球,,,,,,附圖為人體血液循環和淋巴循環的部分示意圖，甲、乙和丙為不同的管道名稱，圖中代表液體的流動方向，代表物質由微血管滲出。根據此圖判斷，甲、乙和丙內有無紅血球的敘述，何者最合理？,m0158,,僅甲、乙有,僅甲、丙有,甲、乙、丙皆有,甲、乙、丙皆沒有,,,,,105教育會考,B
199,04協調,4植物感應,向性,預測生長結果,,,,,,如附圖所示，一個箱子的四面被標記為甲、乙、丙、丁，箱內有一株幼苗在以鐵絲固定的溼棉花上生長，且此箱子一直放置在黑暗環境中。根據此幼苗彎曲生長的方向，推測箱子在該環境中被放置時，最可能是以哪一面接觸水平地面？,m0191,,甲,乙,丙,丁,,,,,105教育會考,B
227,05恆定,1體溫恆定,調節體溫,調節體溫的方式,,,,,,某動物在不同環境溫度下的體溫變化，如附圖所示。則此動物維持體溫方式的相關敘述，下列何者正確？,m0196,,外溫動物，主要藉由代謝產生的熱量維持體溫,外溫動物，主要從外界環境吸收熱量維持體溫,內溫動物，主要藉由代謝產生的熱量維持體溫,內溫動物，主要從外界環境吸收熱量維持體溫,,,,,105教育會考,B
254,06生殖,5植物有性生殖,花的構造,,,,,,,附圖為向日葵植株與南瓜植株的雌蕊構造示意圖，已知向日葵的甲部位可發育成一個帶殼葵瓜子，南瓜的乙構造可發育成一個帶殼南瓜子，有關此兩種帶殼的瓜子為果實或種子之敘述，下列何者正確？,m0231,,兩者皆為果實,兩者皆為種子,葵瓜子為果實，南瓜子為種子,葵瓜子為種子，南瓜子為果實,,,,,105教育會考,C
314,07遺傳,2人類的遺傳,性染色體的性聯遺傳,,,,,,,已知一隱性等位基因位於X染色體上。某對夫妻透過遺傳諮詢得知，在沒有突變的情況下，兩人將來所生的子女中，女兒必帶有此隱性基因，但兒子必無。根據諮詢的結果，推測此對夫妻的家族中，下列哪兩人的X染色體一定沒有此隱性等位基因？,,,夫及他的父親,夫及他的母親,妻及她的父親,妻及她的母親,,,,,105教育會考,C
342,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,西元1970年某果園內白蟲和黑蟲所占的數量比例相同，其後每隔10年再次調查，發現白蟲和黑蟲的比例差距逐漸增大，如附表所示。已知白蟲和黑蟲為同種昆蟲，且兩者的數量總和在各年代間皆相同，若以天擇的概念解釋此果園內白蟲和黑蟲比例的變化，下列何者最合理？,m0251,,黑蟲在此環境中較白蟲易存活,黑蟲比白蟲較容易被天敵捕捉,白蟲的基因大量發生突變而變成黑蟲,白蟲為了避免被天敵捕捉而變成黑蟲,,,,,105教育會考,A
378,09分類,1命名與分類,學名的使用,,,,,,,附表為小慧列出家燕及家雨燕的分類資料，她推論「家燕和家雨燕在分類上為不同科的生物」，依生物分類階層的概念，小慧最可能是根據表中的哪一項內容作出推論？,m0268,,綱,目,屬,種,,,,,105教育會考,B
458,10生態,5生態,生態系平衡的條件,,,,,,,當某一生態系達到平衡時，下列相關敘述何者最合理？,,,物質不再有循環利用的現象,引進外來種繁衍會改變原來的平衡,群集(群落)中的每一族群出生數目等於死亡數目,消費者所得的總能量和生產者所含的總能量相同,,,,,105教育會考,B
545,09分類,4植物界,植物的特徵,,給特徵猜生物,g1001,,,,「無根萍」是原產於臺灣的浮水植物，個體極小，且無根、莖、葉之分，僅有類似葉的構造浮於水面。此外，植株內具有雄蕊及雌蕊，可開花結果繁殖後代，不過無根萍主要繁殖子代的方式，是利用植株一端所長出的小芽。當小芽成熟後，會離開母體而沉入水底，幾天之後再浮出水面長成新的個體。根據本文推論，無根萍是屬於下列哪一類植物？,,,蘚苔植物,蕨類植物,裸子植物,被子植物,,,,,105教育會考,D
546,06生殖,2無性生殖,無性生殖的特性,,,g1001,,,,「無根萍」是原產於臺灣的浮水植物，個體極小，且無根、莖、葉之分，僅有類似葉的構造浮於水面。此外，植株內具有雄蕊及雌蕊，可開花結果繁殖後代，不過無根萍主要繁殖子代的方式，是利用植株一端所長出的小芽。當小芽成熟後，會離開母體而沉入水底，幾天之後再浮出水面長成新的個體。有關無根萍的生殖構造或繁殖方式，下列敘述何者最合理？,,,不會產生胚珠,不會產生生殖細胞,主要的繁殖方式不會增加遺傳的變異,主要的繁殖方式須經減數分裂的過程,,,,,105教育會考,C
40,01生命世界,2動植物細胞的比較,細胞構造的功能,,,,,,,附表為甲細胞和乙細胞內有無兩種特定生理作用的比較。根據此表推測甲、乙細胞內特定構造的有無，下列敘述何者最合理？,m0035,,僅甲細胞含有粒線體,僅甲細胞含有葉綠體,僅乙細胞含有粒線體,僅乙細胞含有葉綠體,,,,,106教育會考,D
98,02養分,4消化系統,消化液的功能,,,,,,,附圖為人體部分消化器官的示意圖，若老王體內的甲處發生阻塞，則下列關於他的消化及養分吸收功能，何者最可能發生？,m0107,,胰液無法排至小腸內,胃液無法分解蛋白質,消化脂質的功能下降,吸收葡萄糖的功能下降,,,,,106教育會考,C
106,03運輸,1植物的運輸,維管束,維管束的功能與位置,,,,,,某雙子葉木本植物的莖具有樹皮及木材等構造，如附圖所示。下列何者為圖中標示＊處的主要功能？,m0131,,運輸養分,運輸水分,細胞分裂,光合作用,,,,,106教育會考,B
178,04協調,1神經系統,神經傳遞路徑,,,,,,,一般人手指觸電後會立刻縮手，也會感覺疼痛而趕緊甩手。附圖為人體指尖觸電時神經訊息傳導的示意圖，圖中甲、乙、丙分別為訊息傳導所經過的神經，下列有關此訊息傳導路徑相關敘述與所對應的神經之配對，何者最合理？,m0166,,觸電後立刻縮手—甲、乙,觸電後感覺疼痛—乙、丙,受器接受刺激後傳至中樞神經—乙、丙,中樞神經發出甩手的命令後傳至動器—丙、甲,,,,,106教育會考,A
223,03運輸,2循環系統,血管間物質的比較,,,,,,,附圖為人體心臟、肝臟和腎臟之間血液循環的示意圖，箭頭代表血液流動的方向，甲、乙、丙及丁分別代表不同的血管。根據此圖的血液流動方向，分別比較甲和乙、丙和丁血液中的尿素濃度，下列何者最合理？,m0151,,甲＜乙，丙＜丁,甲＜乙，丙＞丁,甲＞乙，丙＜丁,甲＞乙，丙＞丁,,,,,106教育會考,C
246,06生殖,1細胞分裂與減數分裂,分裂的過程,,,,,,,附圖為細胞內的某兩對染色體，以甲、乙、丙、丁為代號的示意圖。在正常狀況下，有關細胞進行分裂與分裂時這些染色體分離的敘述，下列何者正確？,m0212,,若進行細胞分裂，則甲與乙必分離至不同的細胞中,若進行細胞分裂，則甲與丁必分離至不同的細胞中,若進行減數分裂，則乙與丙必分離至不同的細胞中,若進行減數分裂，則丙與丁必分離至不同的細胞中,,,,,106教育會考,D
283,06生殖,3動物有性生殖,有性生殖綜合性問題,,,,,,,已知某種動物在同一個體中可產生卵及精子，但在繁殖時，仍需要與不同個體交換精子後，才能受精並產生子代。下列關於此種動物生殖及子代的相關敘述，何者最合理？,,,生殖方式屬於無性生殖,子代不具有生殖的能力,子代具有親代的部分特徵,子代行減數分裂增加體細胞,,,,,106教育會考,C
301,07遺傳,1遺傳法則,計算與分析遺傳機率,,,,,,,已知某植物的種子顏色是由一對等位基因所控制，黃色為顯性，綠色為隱性。小霖記錄了四組親代的表現型並預測其子代可能出現的表現型，整理成附表。在不考慮突變的情況下，表中哪一組子代的預測最不合理？,m0236,,甲,乙,丙,丁,,,,,106教育會考,B
337,08演化,1天擇與人擇,天擇的過程,預測結果,,,,,,已知一地區的某種蝸牛其外殼有深色及淺色之分。在此地區無論是陰暗的石頭縫處或明亮的草地處皆可發現此種蝸牛，且此地區有一種以此蝸牛為食的天敵。阿泰調查了此種蝸牛在兩處的數量後作圖，並據此推論出該天敵主要是利用視覺捕食蝸牛，下列何者最可能是他的調查結果？,,,,,,,m0253,m0254,m0255,m0256,106教育會考,B
394,09分類,4植物界,植物的特徵,裸子植物的特徵,給生物列特徵,,,,,附圖為銀杏(學名：Ginkgo biloba)的示意圖，已知銀杏屬於裸子植物，其種子俗稱為白果，白果及銀杏葉可用於食用及環境美化。下列關於銀杏的推論，何者正確？,m0283,,Ginkgo為形容詞,屬於單子葉植物,不具有果實的構造,白果為開花後產生,,,,,106教育會考,C
436,10生態,3能量的流動,從能量塔判斷生物,,,,,,,將某一食物鏈中生產者及不同階層的消費者所含之總能量繪製成圖，如附圖所示。已知此食物鏈中有一種僅以種子為食的鳥類，則此種鳥類應屬於下列哪一階層？,m0326,,甲,乙,丙,丁,,,,,106教育會考,C
443,10生態,2交互關係,食物網的分析,,,,,,,附表為生活在南極的動物及其食物來源，根據此表判斷，下列有關這些動物之間交互關係的敘述，何者最合理？,m0316,,虎鯨和藍鯨為捕食關係,虎鯨和藍鯨為競爭關係,帝王企鵝和阿德列企鵝為捕食關係,帝王企鵝和阿德列企鵝為競爭關係,,,,,106教育會考,A
501,01生命世界,5科學方法,實驗設計,,圖表判讀,g0101,,,,以下是小明閱讀某篇研究報告後所作的摘要及圖表：某研究員欲探討營養素X和物質Y對大白鼠體重增加量的影響，利用一群條件相同的大白鼠，分成四組進行實驗。此研究員先測量各組大白鼠的原始重量，各組別再依實驗設計進行不同的處理，如附表所示；之後每週都記錄各組大白鼠的重量，再把各組每週所測得的重量和原始重量相減，即為各組的體重增加量。各組大白鼠在實驗不同週數的體重增加量，如附圖所示。根據附表，小明欲探討「在未提供營養素X時，注射物質Y對大白鼠體重增加量的影響」，則他應選取下列哪一組合的資料來分析？,m0052,,甲、乙,甲、丙,乙、丁,丙、丁,,,,,106教育會考,D
